Phylum,Depth,Site_Tundra,Value
Acidobacteria,50-60,IWS,6.385802286
Planctomycetes,50-60,IWS,1.945055163
Alphaproteobacteria,50-60,IWS,0.75663042
Gammaproteobacteria,50-60,IWS,0.087151148
Gemmatimonadetes,50-60,IWS,0.247588488
Nitrospirae,50-60,IWS,0.144591677
Verrucomicrobia,50-60,IWS,25.17281676
Actinobacteria,50-60,IWS,8.410085765
Bacteroidetes,50-60,IWS,15.76247351
Caldiserica,50-60,IWS,1.806405609
Firmicutes,50-60,IWS,1.156733417
Betaproteobacteria,50-60,IWS,0.86953077
Deltaproteobacteria,50-60,IWS,13.74017074
Armatimonadetes,50-60,IWS,0.679382811
Chlorobi,50-60,IWS,3.618753342
Chloroflexi,50-60,IWS,12.47449839
Bacteria_Other,50-60,IWS,5.967872918
Archaea,50-60,IWS,0.774456791
Acidobacteria,60-70,IWS,6.451165647
Planctomycetes,60-70,IWS,2.454097094
Alphaproteobacteria,60-70,IWS,0.514984055
Gammaproteobacteria,60-70,IWS,0.08517044
Gemmatimonadetes,60-70,IWS,0.0752669
Nitrospirae,60-70,IWS,0.227781409
Verrucomicrobia,60-70,IWS,20.12993444
Actinobacteria,60-70,IWS,7.451423139
Bacteroidetes,60-70,IWS,19.72388932
Caldiserica,60-70,IWS,3.400875473
Firmicutes,60-70,IWS,2.681878503
Betaproteobacteria,60-70,IWS,1.539010042
Deltaproteobacteria,60-70,IWS,11.42274249
Armatimonadetes,60-70,IWS,1.661813932
Chlorobi,60-70,IWS,3.606869095
Chloroflexi,60-70,IWS,8.998356012
Bacteria_Other,60-70,IWS,8.75472894
Archaea,60-70,IWS,0.820013073
Acidobacteria,70-80,IWS,6.360053083
Planctomycetes,70-80,IWS,2.333273912
Alphaproteobacteria,70-80,IWS,0.289183354
Gammaproteobacteria,70-80,IWS,0.101016103
Gemmatimonadetes,70-80,IWS,0.130726722
Nitrospirae,70-80,IWS,0.104977519
Verrucomicrobia,70-80,IWS,15.27720007
Actinobacteria,70-80,IWS,8.041674094
Bacteroidetes,70-80,IWS,25.28571712
Caldiserica,70-80,IWS,2.679897795
Firmicutes,70-80,IWS,3.230534593
Betaproteobacteria,70-80,IWS,1.895537465
Deltaproteobacteria,70-80,IWS,8.25360984
Armatimonadetes,70-80,IWS,2.523421871
Chlorobi,70-80,IWS,2.481827005
Chloroflexi,70-80,IWS,8.340760988
Bacteria_Other,70-80,IWS,11.81690336
Archaea,70-80,IWS,0.853685107
Acidobacteria,80-90,IWS,2.555113197
Planctomycetes,80-90,IWS,0.493196268
Alphaproteobacteria,80-90,IWS,0.305029017
Gammaproteobacteria,80-90,IWS,0.00990354
Gemmatimonadetes,80-90,IWS,0.007922832
Nitrospirae,80-90,IWS,0.011884247
Verrucomicrobia,80-90,IWS,3.280052291
Actinobacteria,80-90,IWS,16.07542536
Bacteroidetes,80-90,IWS,47.02398637
Caldiserica,80-90,IWS,3.664309624
Firmicutes,80-90,IWS,18.78899519
Betaproteobacteria,80-90,IWS,0.33077822
Deltaproteobacteria,80-90,IWS,2.048051974
Armatimonadetes,80-90,IWS,0.249569196
Chlorobi,80-90,IWS,0.54865609
Chloroflexi,80-90,IWS,2.681878503
Bacteria_Other,80-90,IWS,1.649929685
Archaea,80-90,IWS,0.275318399
Acidobacteria,90-100,IWS,6.383821578
Planctomycetes,90-100,IWS,1.582585616
Alphaproteobacteria,90-100,IWS,1.996553568
Gammaproteobacteria,90-100,IWS,0.410006536
Gemmatimonadetes,90-100,IWS,0.205993622
Nitrospirae,90-100,IWS,0.116861766
Verrucomicrobia,90-100,IWS,12.25662052
Actinobacteria,90-100,IWS,13.70253729
Bacteroidetes,90-100,IWS,19.73379286
Caldiserica,90-100,IWS,2.596708063
Firmicutes,90-100,IWS,12.30415751
Betaproteobacteria,90-100,IWS,1.66379464
Deltaproteobacteria,90-100,IWS,8.235783469
Armatimonadetes,90-100,IWS,0.489234853
Chlorobi,90-100,IWS,2.454097094
Chloroflexi,90-100,IWS,10.84635649
Bacteria_Other,90-100,IWS,4.418959336
Archaea,90-100,IWS,0.602135203
